Cykl_1,HMG,HL,Anoda_ANALIZA As,Anoda_ANALIZA As_amin,Anoda_ANALIZA Bi,Anoda_ANALIZA Bi_amin,Anoda_ANALIZA Bi_amax,Anoda_ANALIZA Ag,Anoda_ANALIZA Ag_amin,Czas_h,Temp_naporowe_amax,Temp_naporowe_mean,kwas [m3]_mean,Elektrolit [m3]_amin,NaCl [kg]_amin,NaCl [kg]_amax,NaCl [kg]_mean,NaCl [kg]_std,Sklad_Bi_amin,Sklad_Bi_amax,Sklad_Bi_mean,Sklad_Ni_amin,Sklad_Ni_amax,Sklad_Ni_mean,Sklad_Zn_amin,Sklad_Zn_amax,Sklad_Zn_mean,Sklad_H2SO4_amax,Sklad_H2SO4_mean,Sklad_Cu_amin,Sklad_Cu_amax,Sklad_Cu_mean,Sklad_Cl_amin,Sklad_Cl_mean,NaCl_amax,NaCl_mean,NaCl_std
0,1,0,0.1325,0.11,0.004425,0.0044,0.0045,0.2925,0.26,274.0,61.3888497670491,59.91300833019767,1.3563636363636364,-33.0,1.0,6.0,4.016363636363637,1.9540117479384864,0.06,0.061,0.0605418181818181,4.02,4.68,4.377599999999999,,,,180.39,174.55723636363635,42.27,45.36,43.89272727272727,0.031,0.034410909090909,50.05,33.40927272727272,16.305913648339367
1,1,0,0.145,0.14,0.0044,0.0043,0.0045,0.3125,0.29,244.0,61.7421001434326,59.77996192965991,1.3877551020408163,-34.0,0.5,6.0,3.4346938775510205,2.081785864447443,0.053,0.058,0.0554897959183673,4.68,4.84,4.759673469387755,,,,181.4,176.048,42.73,45.36,43.76632653061225,0.032,0.0350204081632653,50.05,28.197510204081635,17.2618355905691
1,1,0,0.141,0.13,0.004025,0.0034,0.0051,0.211,0.19,242.0,62.4359668731689,59.125224424581006,0.7008196721311475,-16.0,0.5,6.0,3.3237704918032787,1.395793402631416,0.056,0.06,0.0580491803278688,4.23,4.72,4.481024590163935,,,,181.28,174.99659836065572,41.21,43.54,42.61831967213114,0.032,0.0340901639344262,49.81,27.427909836065574,11.454610305869286
0,1,0,0.1394999999999999,0.12,0.004135,0.0041,0.0042,0.214,0.2,292.0,61.8621163686116,60.14428249374552,1.6335616438356164,-27.0,0.5,6.0,3.732876712328767,2.0957856448797445,0.058,0.064,0.0603595890410958,4.8,5.16,5.02068493150685,,,,180.39,173.02503424657533,40.9,46.52,43.34770547945206,0.033,0.035208904109589,50.05,30.855650684931508,17.416399841067943
0,1,0,0.1275,0.12,0.005225,0.0041,0.0056,0.2875,0.28,270.0,62.2466500600179,60.243106040137,1.4833948339483394,-22.0,1.0,6.0,3.7878228782287824,1.937495343361816,0.068,0.069,0.0683911439114391,4.66,4.96,4.842656826568265,,,,179.88,175.2378597785978,41.68,46.25,43.99284132841328,0.032,0.0347822878228782,50.02,31.334095940959408,16.158365079735653
1,1,0,0.16,0.16,0.0041,0.0041,0.0041,0.28,0.28,256.0,61.9622000376383,59.96105679832343,1.715953307392996,-34.0,1.5,6.0,4.680933852140078,1.6181786828139897,0.059,0.059,0.059,4.39,4.92,4.707587548638132,,,,181.65,176.14770428015564,41.79,44.82,43.603501945525295,0.03,0.0339571984435797,50.07,38.91428015564202,13.531719520120362
1,1,0,0.125,0.12,0.0044,0.0044,0.0044,0.3149999999999999,0.31,275.0,62.2466500600179,60.23885743996142,1.4818840579710144,-22.0,1.0,6.0,3.86231884057971,1.925681098815339,0.065,0.069,0.0683188405797101,4.66,4.96,4.845688405797102,,,,179.88,175.1670652173913,41.68,46.25,44.024601449275366,0.032,0.0347463768115942,50.02,31.958260869565216,16.067955050655367
1,1,0,0.1349999999999999,0.12,0.00435,0.0043,0.0044,0.3075,0.29,232.0,62.0632335027058,59.50958407560598,1.3690987124463518,-38.0,1.0,6.0,4.263948497854077,2.063660506718892,0.059,0.06,0.0594420600858369,4.46,5.0,4.761287553648069,,,,184.44,175.17124463519315,41.53,45.35,43.40557939914163,0.032,0.0341030042918454,50.03,35.42922746781116,17.121566993040485
0,1,0,0.15,0.11,0.004425,0.0043,0.0045,0.29,0.27,264.0,61.9622000376383,59.982402514664365,1.6590909090909092,-34.0,1.5,6.0,4.579545454545454,1.6851279080138375,0.059,0.059,0.059,4.39,4.92,4.715227272727272,,,,181.65,176.06727272727272,41.79,44.82,43.583636363636366,0.03,0.0340227272727272,50.07,38.07174242424242,14.081006245164737
1,1,0,0.147,0.14,0.00448,0.0041,0.0048,0.303,0.28,251.0,61.7421001434326,59.68483876387487,1.2142857142857142,-34.0,0.5,6.0,4.0773809523809526,1.936482488431609,0.053,0.058,0.0561150793650793,4.68,4.84,4.77968253968254,,,,181.4,176.54924603174604,42.73,45.36,43.72420634920635,0.031,0.0342222222222222,50.06,33.4413492063492,16.182825895043248
1,1,0,0.138,0.1,0.004265,0.004,0.0044,0.301,0.28,240.0,61.9622000376383,59.984245833690565,1.6970954356846473,-34.0,2.0,6.0,4.70954356846473,1.5734357970596964,0.059,0.059,0.059,4.39,4.92,4.711078838174274,,,,181.65,176.316265560166,41.79,44.73,43.58688796680498,0.03,0.0339128630705394,50.07,39.02589211618257,13.275393031406365
0,1,0,0.155,0.15,0.00475,0.0047,0.0048,0.285,0.28,276.0,61.3888497670491,59.91508198152208,1.681159420289855,-33.0,0.5,6.0,3.692028985507247,1.999383963095648,0.06,0.065,0.0609347826086956,4.02,4.68,4.449130434782608,,,,180.39,174.57347826086956,42.84,45.36,44.07782608695652,0.031,0.0346521739130434,50.05,30.787789855072464,16.596276488396875
0,1,0,0.16,0.13,0.004425,0.0041,0.0046,0.305,0.28,289.0,61.9294335047403,60.05395205600109,2.1310344827586207,-40.0,1.0,6.0,4.231034482758621,1.6125810402158307,0.049,0.058,0.0509862068965517,4.47,4.6,4.548931034482758,,,,179.88,174.67055172413794,41.84,45.88,43.53906896551724,0.032,0.0344793103448275,50.06,35.07372413793103,13.438847060081445
0,1,0,0.1575,0.15,0.0042,0.0033,0.0047,0.3175,0.28,252.0,63.5977998097737,60.0196804800225,1.8735177865612649,-33.0,2.0,6.0,4.622529644268774,1.4982815302073866,0.053,0.061,0.0537588932806324,4.34,4.54,4.537628458498023,,,,180.9,171.5635968379447,39.67,43.47,41.78782608695652,0.03,0.0332806324110671,50.05,38.34193675889328,12.56636186806505
1,1,0,0.1319998943643374,0.08,0.0039850324829662,0.003,0.0049,0.2660017958062642,0.22,251.0,62.0338499704996,59.565997404417615,1.4387351778656126,-3.0,2.0,6.0,4.622529644268774,1.4395237046125844,0.062,0.066,0.0627430830039525,4.7,4.96,4.811383399209486,,,,185.7,176.1103557312253,40.79,45.88,42.69691699604743,0.032,0.0339051383399209,50.06,38.294782608695655,12.133421590639802
1,1,0,0.139,0.13,0.004495,0.0039,0.0046,0.3005,0.29,280.0,63.5977998097737,60.03614935842991,2.0,-33.0,2.0,6.0,4.7125,1.4530973592584462,0.053,0.061,0.0545428571428571,4.34,4.54,4.516428571428572,,,,180.9,170.98510714285715,39.67,43.47,41.754285714285714,0.03,0.0333392857142857,50.05,39.006928571428574,12.230464279099746
0,1,0,0.125,0.12,0.00465,0.0046,0.0047,0.225,0.19,244.0,62.0338499704996,59.54866017503799,1.4448979591836737,-3.0,2.0,6.0,4.591836734693878,1.4523633558780975,0.062,0.063,0.0626775510204081,4.7,4.86,4.808408163265307,,,,185.7,176.32073469387757,40.79,45.88,42.66669387755102,0.032,0.0339020408163265,50.06,38.03220408163265,12.239126323185872
1,1,0,0.1625,0.13,0.004575,0.0045,0.0046,0.295,0.29,277.0,61.3888497670491,59.91726559505359,1.6330935251798562,-33.0,0.5,6.0,3.616906474820144,2.105048546880396,0.06,0.065,0.0612697841726618,4.02,4.68,4.474748201438849,,,,180.39,174.41424460431656,42.14,45.36,44.02687050359712,0.031,0.0346115107913669,50.05,30.086654676258995,17.456672944311386
1,1,0,0.165,0.16,0.0046,0.0046,0.0046,0.29,0.29,267.0,62.5802665074666,59.726091668039565,1.2267657992565055,-34.0,0.5,6.0,4.408921933085502,1.951863429741032,0.053,0.061,0.0569851301115241,4.68,4.84,4.792862453531599,,,,181.4,175.6046840148699,41.59,45.36,43.52784386617101,0.031,0.0338029739776951,50.06,36.35304832713754,16.276128442935672
0,1,0,0.1575,0.15,0.004475,0.0041,0.0047,0.28,0.28,255.0,62.0632335027058,59.59356041830554,1.15625,-38.0,1.0,6.0,4.171875,1.9906029237394371,0.059,0.065,0.0597734375,4.46,5.0,4.8384375,,,,184.44,175.13289062500002,41.53,45.35,43.121796875,0.032,0.0343125,50.03,34.8315234375,16.532356190194076
0,1,0,0.13,0.13,0.0046,0.0046,0.0046,0.3,0.3,298.0,61.9622000376383,59.94556152618804,1.9331103678929769,-34.0,1.5,6.0,4.829431438127091,1.66114398535532,0.059,0.06,0.0592207357859531,4.39,4.92,4.712073578595318,,,,181.65,174.45979933110368,40.62,44.73,43.20451505016722,0.03,0.0336521739130434,50.07,39.92722408026756,14.039487791091126
0,1,0,0.145,0.13,0.00445,0.0044,0.0045,0.24,0.23,265.0,61.8621163686116,60.139277926160126,1.718045112781955,-27.0,0.5,6.0,4.052631578947368,1.965036998926471,0.058,0.064,0.0595526315789473,4.8,5.16,5.074736842105263,,,,180.39,173.9321052631579,40.9,46.52,43.079586466165416,0.033,0.0347932330827067,50.05,33.460676691729326,16.355733802541714
0,1,0,0.15,0.12,0.0047,0.0044,0.0056,0.2825,0.28,267.0,61.9622000376383,59.99045845139976,1.7462686567164178,-34.0,1.5,6.0,4.850746268656716,1.678270300427463,0.059,0.06,0.0591567164179104,4.39,4.92,4.739477611940298,,,,181.65,175.21268656716418,41.27,44.73,43.458358208955225,0.03,0.0336940298507462,50.07,40.03914179104478,14.198253717412388
1,1,0,0.1784999999999999,0.17,0.004325,0.0039,0.0044,0.3015,0.3,224.0,62.0632335027058,59.614647448044586,1.04,-38.0,1.0,6.0,4.28,1.9728740818554904,0.059,0.065,0.0592977777777777,4.46,5.0,4.865688888888889,,,,184.44,175.39915555555555,41.53,45.35,42.977466666666665,0.032,0.0342755555555555,50.03,35.75995555555556,16.348169280910373
1,1,0,0.1699999999999999,0.16,0.00465,0.0044,0.0048,0.2875,0.28,241.0,61.8621163686116,60.17178193767037,1.5390946502057614,-27.0,0.5,6.0,3.9876543209876543,2.0240934742271506,0.058,0.064,0.0593168724279835,4.8,5.16,5.087407407407407,,,,180.39,174.0890534979424,40.9,46.52,42.86395061728396,0.033,0.0347901234567901,50.05,32.90065843621399,16.844074796883834
1,1,0,0.17,0.17,0.005,0.005,0.005,0.26,0.26,265.0,62.0632335027058,59.6547829389607,1.3558052434456929,-38.0,1.0,6.0,4.157303370786517,1.9918945325174235,0.059,0.065,0.0603071161048689,4.46,5.0,4.852209737827716,,,,184.44,174.55262172284645,41.53,45.35,42.98925093632959,0.032,0.0343670411985018,50.03,34.64400749063671,16.518527375695378
1,1,0,0.165,0.16,0.004625,0.0044,0.0048,0.29,0.28,269.0,63.5977998097737,60.07391753564157,2.007434944237918,-33.0,0.5,6.0,4.983271375464684,1.2902833212960991,0.053,0.061,0.0552007434944237,4.34,4.54,4.500594795539034,,,,180.9,171.457843866171,40.34,43.47,41.96200743494424,0.03,0.0331821561338289,50.05,41.301375464684014,10.850081296737535
0,1,0,0.145,0.13,0.0045,0.004,0.005,0.28,0.26,287.0,62.2466500600179,60.22651371154029,1.5902777777777777,-22.0,1.0,6.0,3.513888888888889,1.8402624835922805,0.065,0.069,0.0673333333333333,4.66,4.96,4.8810416666666665,,,,179.88,175.33604166666666,41.68,46.25,43.939166666666665,0.032,0.0351875,50.01,29.11503472222222,15.239275317216109
0,1,0,0.1375,0.12,0.004975,0.0048,0.0051,0.285,0.28,300.0,61.3888497670491,59.92209295111398,1.435215946843854,-33.0,0.5,6.0,3.691029900332226,2.003551663696993,0.06,0.065,0.0621196013289036,4.02,4.68,4.5195348837209295,,,,180.39,174.09554817275747,41.27,45.36,43.6093023255814,0.031,0.0344983388704319,50.05,30.66893687707641,16.687450360455575
0,1,0,0.12,0.1,0.004875,0.0044,0.0051,0.275,0.27,270.0,62.0338499704996,59.54518490906492,1.2952029520295203,-3.0,1.0,6.0,4.557195571955719,1.7071347759012565,0.062,0.066,0.0636531365313653,4.7,4.96,4.866346863468634,,,,185.7,175.98630996309964,40.79,44.39,42.73815498154981,0.032,0.034040590405904,50.06,37.83350553505535,14.20001131581992
1,1,0,0.16,0.14,0.0043,0.0041,0.0045,0.31,0.28,261.0,61.9294335047403,60.04129614826928,1.7404580152671756,-17.0,1.0,6.0,4.274809160305344,1.6379289563722426,0.049,0.058,0.0514732824427481,4.47,4.6,4.560343511450381,,,,179.88,175.26599236641223,41.84,45.88,43.08946564885496,0.032,0.034442748091603,50.03,35.54076335877863,13.689383537518149
1,1,0,0.1299999999999999,0.1,0.004425,0.0041,0.0047,0.3025,0.28,273.0,61.3888497670491,59.98072750494743,1.5766423357664234,-33.0,0.5,6.0,3.8138686131386863,2.00503697157921,0.06,0.065,0.0620912408759124,4.02,4.68,4.54883211678832,,,,180.39,173.88795620437958,41.27,45.36,43.644744525547445,0.031,0.0344452554744525,50.05,31.686970802919703,16.702695378737385
1,1,0,0.14,0.1,0.00445,0.0041,0.0047,0.2975,0.28,249.0,63.0286332448323,59.45499054968447,0.712,-16.0,0.5,6.0,3.422,1.6582869663151192,0.056,0.066,0.0609679999999999,4.23,4.72,4.671,,,,181.28,174.529,41.21,43.54,42.28664,0.033,0.034788,49.81,28.56784,13.517309568337373
1,1,0,0.1375,0.1,0.004575,0.0044,0.0048,0.29,0.28,276.0,61.9622000376383,59.94035228962905,2.1366906474820144,-34.0,1.5,6.0,5.143884892086331,1.5035992969897638,0.059,0.06,0.0593057553956834,4.39,4.92,4.743920863309352,,,,181.65,173.8653597122302,40.62,44.73,43.25410071942446,0.03,0.033341726618705,50.07,42.552014388489205,12.75815184604996
0,1,0,0.1425,0.11,0.00425,0.004,0.0045,0.3,0.28,287.0,61.8621163686116,60.10367021235888,1.8333333333333333,-27.0,1.0,6.0,4.291666666666667,1.6918538169650164,0.058,0.064,0.0587291666666666,4.8,5.16,5.1375,,,,180.39,174.64874999999998,40.9,44.62,42.87770833333334,0.033,0.0345625,50.05,35.479756944444446,14.1475000540887
0,1,0,0.154,0.13,0.00406,0.0039,0.0043,0.256,0.22,277.0,62.0338499704996,59.46083952352889,1.39568345323741,-3.0,1.0,6.0,4.532374100719425,1.7916862084784029,0.062,0.066,0.0639712230215827,4.7,4.96,4.885539568345324,,,,185.7,175.88741007194244,40.79,45.34,42.93697841726618,0.032,0.0341510791366906,50.06,37.53179856115108,14.967014574502
0,1,0,0.13,0.1,0.004725,0.0045,0.0049,0.29,0.28,302.0,63.0286332448323,59.47604677924011,0.8778877887788779,-16.0,0.5,6.0,3.2755775577557755,1.856828523402873,0.056,0.066,0.0623432343234323,4.23,4.72,4.703828382838283,,,,181.28,173.44501650165017,41.21,43.98,42.42884488448845,0.033,0.0351122112211221,49.81,27.19346534653465,15.045274858489757
1,1,0,0.155,0.15,0.0038,0.0038,0.0038,0.34,0.3,248.0,61.9622000376383,59.92922189986161,2.281124497991968,-34.0,1.5,6.0,5.092369477911647,1.5591502829654036,0.059,0.06,0.05929718875502,4.39,4.92,4.780281124497992,,,,180.39,173.4127309236948,40.62,44.73,43.31931726907631,0.03,0.0336706827309237,50.06,42.17449799196788,13.235803283422417
0,1,0,0.1205,0.11,0.004165,0.004,0.0047,0.252,0.21,275.0,62.2466500600179,60.23923056021585,1.7463768115942029,-16.0,1.0,6.0,3.800724637681159,1.9107731467773248,0.065,0.069,0.066927536231884,4.66,4.96,4.90481884057971,,,,179.88,175.188115942029,41.68,46.25,43.94076086956522,0.032,0.0349384057971014,50.01,31.42728260869565,15.912703291505132
1,1,0,0.13,0.13,0.0042,0.0041,0.0046,0.292,0.29,245.0,61.9294335047403,60.05127643033523,1.5121951219512195,-17.0,1.0,6.0,4.280487804878049,1.7019152973760203,0.049,0.058,0.0518292682926829,4.47,4.6,4.568170731707317,,,,179.88,175.434918699187,41.64,44.36,42.98943089430894,0.032,0.0344349593495934,50.03,35.67280487804878,14.121225356531044
1,1,0,0.15,0.15,0.0038,0.0038,0.0038,0.3,0.3,276.0,61.4071333567301,59.968826983390976,1.6151079136690647,-33.0,0.5,6.0,3.866906474820144,1.9691442363911384,0.06,0.065,0.0625647482014388,4.02,4.68,4.583525179856116,,,,180.39,172.9906834532374,41.27,45.36,43.48363309352519,0.031,0.034431654676259,50.05,32.15097122302158,16.31455055167441
0,1,0,0.1,0.1,0.0047,0.0047,0.0047,0.29,0.29,280.0,63.5977998097737,60.05140788777037,1.9288256227758007,-33.0,0.5,6.0,4.548042704626335,1.776434454067577,0.054,0.061,0.0569644128113879,4.34,4.54,4.455302491103203,,,,178.11,170.80512455516015,40.34,43.47,41.72259786476868,0.031,0.0338932384341637,50.05,37.61612099644128,14.858890469043168
0,1,0,0.132,0.09,0.00438,0.004,0.005,0.255,0.23,271.0,61.4203165690104,60.011137245413664,1.8308823529411764,-27.0,1.0,6.0,4.202205882352941,1.6980330236299774,0.058,0.059,0.0584191176470588,5.16,5.16,5.16,,,,180.39,174.38176470588235,40.9,44.09,42.78176470588235,0.033,0.0345514705882352,50.04,34.707830882352944,14.176954198025662
1,1,0,0.1225,0.11,0.0036749999999999,0.0033,0.0048,0.3025,0.28,249.0,61.8679501851399,59.69970723144182,1.464,-16.0,1.0,6.0,3.816,1.958952264835368,0.059,0.065,0.061352,4.74,5.0,4.89808,,,,184.44,171.67311999999998,41.53,43.52,42.72128,0.032,0.034464,50.04,31.776,16.28129105919481
1,1,0,0.14,0.11,0.00375,0.0033,0.0041,0.34,0.29,252.0,61.9294335047403,60.05033361293056,1.517786561264822,-17.0,1.0,6.0,4.126482213438735,1.8483718373441929,0.049,0.058,0.052592885375494,4.5,4.6,4.5600790513834,,,,179.88,175.0892490118577,41.38,44.36,42.87059288537549,0.032,0.0344426877470355,50.03,34.16901185770751,15.460752930001728
1,1,0,0.1275,0.11,0.003625,0.0033,0.0041,0.3225,0.29,255.0,63.5977998097737,60.082518302636586,2.015625,-33.0,0.5,6.0,4.40625,1.799509737155553,0.054,0.061,0.0568984374999999,4.34,4.54,4.4571875,,,,178.11,170.569609375,40.34,43.47,41.818046875,0.031,0.0340234375,50.05,36.40671875,15.030889403159092
0,0,1,0.0795,0.0699,0.0003,0.0001,0.0006,,,308.0,61.1974334081013,59.964166741556895,1.8344155844155845,-16.0,0.5,6.0,4.337662337662338,1.929441968307296,0.016,0.022,0.0171493506493506,6.74,7.15,6.926071428571428,0.09,0.09,0.09,176.13,172.0652922077922,40.94,45.41,43.111396103896105,0.031,0.0346363636363636,50.06,36.18340909090909,15.989398800705269
0,1,0,0.15,0.12,0.004725,0.0044,0.0051,0.29,0.28,241.0,61.8679501851399,59.64665656494322,1.5743801652892562,-16.0,1.5,6.0,3.977272727272727,1.9050326447579216,0.059,0.065,0.0616528925619834,4.74,5.0,4.885041322314049,,,,175.36,171.01342975206612,41.53,43.52,42.695537190082646,0.032,0.0343057851239669,50.04,33.09793388429752,15.72210120349287
0,1,0,0.15,0.15,0.0045,0.0045,0.0045,0.3,0.3,270.0,61.4071333567301,59.97478624496123,2.047970479704797,-33.0,0.5,6.0,4.068265682656826,2.019338986888063,0.061,0.065,0.0630811808118081,4.44,4.68,4.5551291512915135,,,,179.38,171.10863468634687,41.27,45.36,43.3040221402214,0.031,0.0342656826568265,50.05,33.96992619926199,16.64709728879727
1,1,0,0.1799999999999999,0.1799999999999999,0.0044,0.0044,0.0044,0.28,0.28,257.0,61.9294335047403,60.06443270874704,1.2790697674418603,-17.0,0.5,6.0,4.244186046511628,1.863134339859811,0.049,0.058,0.0535348837209302,4.5,4.6,4.549612403100775,,,,179.88,174.96457364341086,41.38,44.36,42.75651162790698,0.032,0.0346124031007751,50.04,35.41670542635659,15.39419925866924
0,1,0,0.1525,0.15,0.0043,0.0041,0.0045,0.29,0.28,281.0,62.5802665074666,59.777955995246224,1.5319148936170213,-33.0,0.5,6.0,4.131205673758865,2.0143130104745355,0.058,0.061,0.0596489361702127,4.8,4.84,4.818014184397163,,,,181.4,173.23932624113473,41.59,44.53,42.99840425531914,0.031,0.0343085106382978,50.06,34.54829787234043,16.677229109115565
1,1,0,,0.1,,0.004,0.004,,0.25,242.0,62.0338499704996,59.47582635954234,1.7818930041152263,-3.0,1.0,6.0,4.633744855967078,1.7372954332052528,0.063,0.066,0.0645061728395061,4.86,4.96,4.910205761316873,,,,183.93,173.46440329218106,40.79,45.34,42.78308641975309,0.033,0.0343374485596707,50.05,38.48798353909465,14.42494910427364
1,1,0,,0.14,,0.0041,0.0041,,0.27,245.0,60.8308499654134,59.99077525845641,2.073170731707317,-27.0,0.5,6.0,4.412601626016261,1.5536276639534412,0.058,0.059,0.0585081300813008,5.16,5.16,5.16,,,,180.39,173.6719105691057,40.9,44.09,42.83065040650406,0.033,0.0344268292682926,50.04,36.71089430894309,12.834016376014349
0,1,0,0.13,0.1,0.004325,0.0043,0.0044,0.2925,0.29,290.0,61.7877113859532,60.01062049639089,2.195876288659794,-33.0,0.5,6.0,4.041237113402062,1.929360403792224,0.061,0.065,0.0633780068728522,4.42,4.68,4.532508591065292,0.02,0.02,0.02,177.54,170.78281786941582,41.27,45.36,43.139381443298966,0.031,0.0342611683848797,50.05,33.753024054982816,15.950279009432087
0,1,0,0.14,0.14,0.004,0.004,0.004,0.29,0.29,275.0,63.0286332448323,59.583961623878245,1.0434782608695652,-2.0,0.5,6.0,2.7590579710144927,1.920442520095505,0.06,0.066,0.0635869565217391,4.72,4.72,4.72,,,,176.64,172.77478260869566,41.21,43.98,42.483260869565214,0.034,0.0358586956521739,49.8,22.9468115942029,15.674835048481414
0,0,1,0.08485,0.0699,0.00025,0.0002,0.0003,,,254.0,61.1974334081013,59.96645015520044,1.384313725490196,-16.0,0.5,6.0,4.415686274509804,1.9460612906221924,0.016,0.018,0.0171686274509803,6.74,7.15,6.91043137254902,,,,176.13,172.5861176470588,40.94,45.41,42.72698039215686,0.031,0.0344392156862745,50.05,36.7801568627451,16.096809166093376
