Cykl_1,HMG,HL,Kondensat [m3]_amax,Kondensat [m3]_std,NaCl [kg]_mean,Sklad_Sb_amin,Sklad_Sb_amax,Sklad_Sb_mean,Sklad_Fe_amax,Sklad_Fe_mean,Sklad_H2SO4_mean,Sklad_Cu_amax,Sklad_Cu_mean,Sklad_Cl_amin,Tiomocznik_mean,NaCl_amin,NaCl_amax,NaCl_mean,NaCl_std
1,1,0,32.0,11.706733918886991,4.7125,0.2,0.23,0.2063571428571428,0.11,0.1044928571428571,170.98510714285715,43.47,41.754285714285714,0.03,22.110714285714284,0.08,50.05,39.006928571428574,12.230464279099746
0,1,0,50.0,18.03893413881494,4.591836734693878,0.22,0.24,0.2335510204081632,0.12,0.1129061224489795,176.32073469387757,45.88,42.66669387755102,0.032,22.16881632653061,0.03,50.06,38.03220408163265,12.239126323185872
1,1,0,40.0,12.529446914006671,3.616906474820144,0.24,0.25,0.2413309352517985,0.12,0.1107661870503597,174.41424460431656,45.36,44.02687050359712,0.031,22.10082733812949,0.28,50.05,30.086654676258995,17.456672944311386
1,1,0,32.0,12.42743795012986,4.408921933085502,0.23,0.26,0.2332342007434944,0.12,0.1119553903345724,175.6046840148699,45.36,43.52784386617101,0.031,22.053457249070632,0.05,50.06,36.35304832713754,16.276128442935672
0,1,0,40.0,15.339803089464,4.171875,0.22,0.27,0.250546875,0.12,0.1118359375,175.13289062500002,45.35,43.121796875,0.032,22.1102734375,0.5,50.03,34.8315234375,16.532356190194076
0,1,0,50.0,15.791223917105402,4.829431438127091,0.2,0.24,0.2153511705685618,0.11,0.1045317725752508,174.45979933110368,44.73,43.20451505016722,0.03,26.995652173913044,0.02,50.07,39.92722408026756,14.039487791091126
0,1,0,40.0,14.400524887582318,4.052631578947368,0.22,0.26,0.23,0.094,0.0902105263157894,173.9321052631579,46.52,43.079586466165416,0.033,22.711315789473684,1.5,50.05,33.460676691729326,16.355733802541714
0,1,0,50.0,15.757086094841103,4.850746268656716,0.2,0.24,0.2127611940298507,0.11,0.1051865671641791,175.21268656716418,44.73,43.458358208955225,0.03,26.983507462686568,0.02,50.07,40.03914179104478,14.198253717412388
1,1,0,40.0,15.453478572800355,4.28,0.22,0.27,0.2503111111111111,0.12,0.1137111111111111,175.39915555555555,45.35,42.977466666666665,0.032,22.127955555555555,0.5,50.03,35.75995555555556,16.348169280910373
1,1,0,40.0,13.244166699704731,3.9876543209876543,0.22,0.26,0.228312757201646,0.094,0.0898518518518518,174.0890534979424,46.52,42.86395061728396,0.033,22.70259259259259,1.5,50.05,32.90065843621399,16.844074796883834
1,1,0,40.0,15.14564847342091,4.157303370786517,0.22,0.27,0.2545318352059925,0.12,0.1116666666666666,174.55262172284645,45.35,42.98925093632959,0.032,22.04232209737828,0.5,50.03,34.64400749063671,16.518527375695378
1,1,0,32.0,13.125440996546578,4.983271375464684,0.2,0.23,0.2076951672862453,0.11,0.1043122676579925,171.457843866171,43.47,41.96200743494424,0.03,22.03494423791821,0.08,50.05,41.301375464684014,10.850081296737535
0,1,0,50.0,16.01378011892417,3.513888888888889,0.23,0.26,0.2497916666666666,0.12,0.1137916666666666,175.33604166666666,46.25,43.939166666666665,0.032,21.99760416666667,0.16,50.01,29.11503472222222,15.239275317216109
0,1,0,40.0,13.342032599534573,3.691029900332226,0.24,0.25,0.2431229235880398,0.12,0.1095249169435216,174.09554817275747,45.36,43.6093023255814,0.031,21.97890365448505,0.28,50.05,30.66893687707641,16.687450360455575
0,1,0,40.0,16.634882361865742,4.557195571955719,0.22,0.27,0.2453136531365314,0.12,0.1121549815498154,175.98630996309964,44.39,42.73815498154981,0.032,21.988154981549812,0.03,50.06,37.83350553505535,14.20001131581992
1,1,0,50.0,14.21609630141362,4.274809160305344,0.19,0.24,0.2208778625954198,0.11,0.1054809160305343,175.26599236641223,45.88,43.08946564885496,0.032,22.70965648854962,0.8,50.03,35.54076335877863,13.689383537518149
1,1,0,40.0,13.023785707103045,3.8138686131386863,0.24,0.25,0.242956204379562,0.12,0.1108065693430657,173.88795620437958,45.36,43.644744525547445,0.031,21.965620437956204,0.28,50.05,31.686970802919703,16.702695378737385
1,1,0,22.0,8.004918166941982,3.422,0.22,0.26,0.22912,0.11,0.10542,174.529,43.54,42.28664,0.033,16.30976,0.08,49.81,28.56784,13.517309568337373
1,1,0,50.0,15.538175606438866,5.143884892086331,0.2,0.24,0.2149280575539568,0.11,0.1055935251798561,173.8653597122302,44.73,43.25410071942446,0.03,26.985827338129496,0.02,50.07,42.552014388489205,12.75815184604996
0,1,0,32.0,12.893290262687389,4.291666666666667,0.22,0.26,0.2354166666666666,0.094,0.0905,174.64874999999998,44.62,42.87770833333334,0.033,22.718784722222225,1.5,50.05,35.479756944444446,14.1475000540887
0,1,0,44.0,18.371307021940854,4.532374100719425,0.22,0.27,0.2491726618705035,0.12,0.111978417266187,175.88741007194244,45.34,42.93697841726618,0.032,21.931007194244604,0.03,50.06,37.53179856115108,14.967014574502
0,1,0,22.0,7.010236963844293,3.2755775577557755,0.22,0.26,0.2365016501650164,0.11,0.1051155115511551,173.44501650165017,43.98,42.42884488448845,0.033,16.188217821782178,0.08,49.81,27.19346534653465,15.045274858489757
1,1,0,50.0,15.58871905189692,5.092369477911647,0.2,0.24,0.2127309236947791,0.11,0.1066064257028112,173.4127309236948,44.73,43.31931726907631,0.03,26.97457831325301,0.02,50.06,42.17449799196788,13.235803283422417
0,1,0,50.0,16.44709448492491,3.800724637681159,0.23,0.26,0.2531521739130435,0.12,0.115731884057971,175.188115942029,46.25,43.94076086956522,0.032,21.91086956521739,0.16,50.01,31.42728260869565,15.912703291505132
1,1,0,36.0,12.995630463729942,4.280487804878049,0.19,0.24,0.2261382113821138,0.11,0.1055772357723577,175.434918699187,44.36,42.98943089430894,0.032,22.70219512195122,0.8,50.03,35.67280487804878,14.121225356531044
1,1,0,40.0,12.951011407037312,3.866906474820144,0.24,0.25,0.2439208633093525,0.12,0.1105071942446043,172.9906834532374,45.36,43.48363309352519,0.031,21.89302158273381,0.28,50.05,32.15097122302158,16.31455055167441
0,1,0,32.0,12.990348769726149,4.548042704626335,0.2,0.23,0.2127046263345196,0.11,0.1023772241992882,170.80512455516015,43.47,41.72259786476868,0.031,21.86686832740213,0.08,50.05,37.61612099644128,14.858890469043168
0,1,0,30.0,12.230582569491409,4.202205882352941,0.22,0.26,0.2367647058823529,0.094,0.0905147058823529,174.38176470588235,44.09,42.78176470588235,0.033,22.71466911764706,1.5,50.04,34.707830882352944,14.176954198025662
1,1,0,40.0,11.73184729545417,3.816,0.26,0.27,0.26392,0.12,0.11216,171.67311999999998,43.52,42.72128,0.032,21.859,0.5,50.04,31.776,16.28129105919481
1,1,0,36.0,13.727278336404742,4.126482213438735,0.22,0.24,0.2279841897233201,0.11,0.1044110671936758,175.0892490118577,44.36,42.87059288537549,0.032,22.704584980237158,0.8,50.03,34.16901185770751,15.460752930001728
1,1,0,32.0,13.449360360911111,4.40625,0.2,0.23,0.212421875,0.11,0.102546875,170.569609375,43.47,41.818046875,0.031,21.845390625,0.08,50.05,36.40671875,15.030889403159092
0,0,1,40.0,14.918706060368407,4.337662337662338,0.23,0.25,0.2453571428571428,0.14,0.1290909090909091,172.0652922077922,45.41,43.111396103896105,0.031,21.86814935064935,4.16,50.06,36.18340909090909,15.989398800705269
0,1,0,28.0,9.067536911633688,3.977272727272727,0.26,0.27,0.2644214876033058,0.12,0.1111570247933884,171.01342975206612,43.52,42.695537190082646,0.032,21.90326446280992,12.46,50.04,33.09793388429752,15.72210120349287
0,1,0,40.0,13.406771923745636,4.068265682656826,0.24,0.25,0.2452029520295203,0.12,0.1075129151291512,171.10863468634687,45.36,43.3040221402214,0.031,21.868560885608854,4.15,50.05,33.96992619926199,16.64709728879727
1,1,0,36.0,14.052965465896026,4.244186046511628,0.22,0.24,0.2300775193798449,0.11,0.1029457364341085,174.96457364341086,44.36,42.75651162790698,0.032,22.796666666666667,4.19,50.04,35.41670542635659,15.39419925866924
0,1,0,32.0,13.027139664379089,4.131205673758865,0.23,0.26,0.2464893617021276,0.12,0.1090070921985815,173.23932624113473,44.53,42.99840425531914,0.031,21.853546099290774,4.17,50.06,34.54829787234043,16.677229109115565
1,1,0,44.0,17.95241739177434,4.633744855967078,0.24,0.27,0.2550617283950617,0.12,0.1099588477366255,173.46440329218106,45.34,42.78308641975309,0.033,21.85880658436214,8.14,50.05,38.48798353909465,14.42494910427364
1,1,0,30.0,11.69360515523182,4.412601626016261,0.22,0.26,0.2403252032520325,0.094,0.0910487804878048,173.6719105691057,44.09,42.83065040650406,0.033,22.79910569105691,8.28,50.04,36.71089430894309,12.834016376014349
0,1,0,40.0,13.047262932584532,4.041237113402062,0.23,0.25,0.2454295532646048,0.12,0.1058006872852233,170.78281786941582,45.36,43.139381443298966,0.031,21.81006872852233,4.15,50.05,33.753024054982816,15.950279009432087
0,1,0,22.0,7.985124509908108,2.7590579710144927,0.22,0.26,0.2439130434782609,0.11,0.1040217391304347,172.77478260869566,43.98,42.483260869565214,0.034,16.040797101449275,2.48,49.8,22.9468115942029,15.674835048481414
0,0,1,40.0,12.517866804968005,4.415686274509804,0.24,0.25,0.2458431372549019,0.14,0.128313725490196,172.5861176470588,45.41,42.72698039215686,0.031,21.805607843137256,4.16,50.05,36.7801568627451,16.096809166093376
1,1,0,40.0,12.286344579580057,4.4189723320158105,0.24,0.25,0.2458893280632411,0.14,0.1282213438735177,172.60845849802374,45.41,42.70577075098814,0.031,21.8002371541502,4.16,50.05,36.807588932806325,16.157578573355682
0,1,0,28.0,9.780162205292864,4.037878787878788,0.26,0.27,0.2661363636363636,0.12,0.1077272727272727,171.22386363636363,43.52,42.7475,0.032,21.78606060606061,8.27,50.05,33.65113636363636,16.04286485551159
1,1,0,32.0,12.128925716238472,4.234567901234568,0.23,0.26,0.2480246913580247,0.12,0.1079835390946502,173.41218106995882,44.53,42.806543209876544,0.031,21.77934156378601,4.17,50.06,35.27831275720164,16.903744121444415
1,1,0,28.0,9.903772801065418,4.137795275590551,0.26,0.27,0.2661811023622047,0.12,0.1076377952755905,171.24586614173228,43.52,42.784606299212605,0.032,21.77393700787401,8.27,50.05,34.48389763779527,15.762875914007244
0,1,0,44.0,16.91507920424135,4.16376306620209,0.24,0.27,0.259581881533101,0.12,0.1072822299651568,173.39808362369337,45.34,42.80738675958189,0.031,21.74547038327526,4.16,50.06,34.72588850174216,18.940229131137038
0,1,0,40.0,13.368139484785138,4.334545454545455,0.23,0.25,0.2453454545454545,0.14,0.1277818181818182,172.7709090909091,45.07,42.97341818181818,0.031,21.7404,4.16,50.05,35.94323636363636,16.276753991801364
0,1,0,32.0,12.655309262414654,4.061184210526315,0.2,0.24,0.2236842105263158,0.11,0.0982763157894736,171.24730263157895,44.36,41.967894736842105,0.032,21.722368421052632,4.1,53.32,33.74871710526316,16.520281124961507
1,1,0,40.0,13.582947676620885,4.3484251968503935,0.23,0.25,0.2464173228346456,0.14,0.1267716535433071,172.66708661417323,45.07,42.87472440944882,0.031,21.727755905511813,4.16,50.05,36.04200787401575,16.551034893068106
1,1,0,22.0,7.408435837272858,2.8771929824561404,0.22,0.26,0.2468421052631579,0.11,0.1032894736842105,172.48868421052632,43.98,42.507236842105264,0.034,15.912236842105264,2.48,49.8,23.905,16.657168305181308
1,1,0,30.0,11.157037269809836,3.947368421052632,0.22,0.26,0.2470175438596491,0.094,0.0920526315789473,174.42587719298243,44.09,43.122280701754384,0.033,22.79881578947369,4.16,50.04,33.00114035087719,16.452068078765066
1,1,0,30.0,10.645525421933373,4.246913580246914,0.23,0.28,0.2509465020576132,0.12,0.1061728395061728,172.64444444444445,44.53,42.88399176954732,0.031,21.70345679012345,4.19,50.06,35.34991769547325,16.642068693717768
0,1,0,32.0,12.74511359820841,3.918279569892473,0.2,0.24,0.2246594982078853,0.11,0.0975125448028673,170.96903225806452,43.5,41.872365591397845,0.032,21.695698924731182,4.1,53.32,32.5041935483871,16.639517536926512
0,1,0,40.0,13.06864408035143,4.51948051948052,0.23,0.25,0.2429220779220779,0.14,0.1290909090909091,172.99850649350648,45.09,43.42149350649351,0.031,21.69967532467533,4.16,50.05,37.53899350649351,14.903974175197073
1,1,0,36.0,14.057992183290846,3.756653992395437,0.22,0.24,0.2327756653992395,0.12,0.1024638783269962,174.0757414448669,44.36,42.72441064638783,0.032,22.79505703422053,4.15,50.05,31.153155893536123,17.45496990411232
0,1,0,30.0,11.712138116502524,4.280263157894737,0.23,0.28,0.2595723684210527,0.12,0.1089473684210526,173.50868421052633,44.53,43.18042763157895,0.031,21.698190789473685,4.18,50.06,35.53398026315789,16.698612270544686
1,1,0,40.0,15.560847965914926,3.716535433070866,0.23,0.26,0.2543307086614174,0.12,0.1122440944881889,174.07437007874017,45.68,43.63358267716536,0.032,21.69720472440945,4.19,50.02,30.905669291338583,17.206116827153245
0,1,0,36.0,13.847348100977952,3.7803030303030303,0.22,0.24,0.2327272727272727,0.12,0.1026818181818181,174.1472727272727,44.36,42.72636363636364,0.032,22.79492424242424,4.15,50.05,31.35037878787879,17.565322729560556
1,0,1,40.0,13.368149504543348,4.566666666666666,0.23,0.25,0.2442592592592592,0.14,0.1275555555555555,172.38003703703703,45.09,43.37266666666667,0.031,21.69962962962963,4.16,50.05,38.06648148148148,15.220791707838666
1,1,0,50.0,16.575678327995963,5.253112033195021,0.2,0.24,0.2321991701244813,0.12,0.1041078838174273,173.0997510373444,46.1,42.81041493775933,0.031,27.093070539419088,12.47,50.06,43.72153526970954,10.893959131086936
0,1,0,30.0,11.77745774779914,4.425783972125435,0.23,0.28,0.2609756097560975,0.12,0.1082926829268292,173.16822299651568,44.53,43.18132404181184,0.031,21.698397212543554,4.18,50.06,36.89522648083624,15.98942871494618
0,1,0,22.0,7.711543747962802,2.954485049833887,0.22,0.26,0.2485714285714286,0.11,0.1044186046511627,172.8391362126246,43.98,42.53205980066445,0.032,15.90033222591362,2.48,49.8,24.469933554817278,18.24746126622104
0,1,0,28.0,10.653885598334709,3.5874587458745872,0.22,0.27,0.2522112211221122,0.12,0.1055775577557755,171.98765676567658,43.52,42.536699669967,0.032,21.697326732673268,4.16,50.05,29.9263696369637,16.536525316954595
1,1,0,53.0,18.0295307039949,5.131048387096774,0.2,0.24,0.235,0.12,0.1052016129032258,173.21645161290323,46.1,42.986330645161296,0.031,27.09560483870968,12.47,50.06,42.81229838709677,11.073554043281275
1,1,0,44.0,16.132502373025122,4.383858267716535,0.24,0.27,0.2646456692913386,0.12,0.1043700787401574,172.97248031496065,45.34,42.98468503937008,0.031,21.696259842519687,4.16,50.06,36.52389763779527,19.553429229416423
1,1,0,36.0,12.21374106250339,3.671806167400881,0.22,0.24,0.2348017621145374,0.12,0.1011365638766519,173.35356828193832,44.36,42.64533039647577,0.032,22.79687224669604,4.15,50.05,30.381762114537445,18.45461712800865
1,1,0,53.0,17.9986294298922,5.129482071713148,0.2,0.24,0.23601593625498,0.12,0.1056175298804781,173.35227091633465,46.1,43.0089641434263,0.031,27.095577689243022,12.47,50.06,42.739561752988045,11.10347737455124
0,1,0,53.0,17.74766271294829,5.31,0.2,0.24,0.2376,0.12,0.1082,174.0912,46.1,43.0932,0.03,27.094066666666667,12.47,50.06,44.1402,10.376004442331883
0,1,0,53.0,17.952841134130207,5.382671480144404,0.2,0.24,0.2385559566787003,0.12,0.1075090252707581,174.0447653429603,46.1,43.06989169675091,0.03,27.09361010830325,12.47,50.06,44.73667870036101,9.241100839515964
1,0,1,40.0,13.405408033290405,4.28936170212766,0.23,0.25,0.2446808510638297,0.14,0.1257021276595744,172.1571914893617,45.09,43.59165957446808,0.032,21.69927659574468,4.16,50.05,35.76344680851064,15.505826821526387
1,1,0,40.0,16.30798357686641,4.179133858267717,0.23,0.26,0.2505511811023622,0.12,0.1103543307086614,173.3523622047244,45.68,43.37240157480315,0.032,21.698267716535437,4.19,50.08,34.695629921259844,18.166534476836063
0,1,0,30.0,13.024111570764973,4.060563380281691,0.23,0.28,0.267112676056338,0.12,0.108169014084507,173.5024647887324,44.53,43.24464788732394,0.031,21.698098591549297,4.18,50.04,33.80443661971832,15.657561761574616
1,1,0,30.0,12.285628269650754,4.190909090909091,0.26,0.28,0.2661157024793388,0.12,0.1061157024793388,173.44595041322313,44.53,43.152561983471074,0.032,21.69809917355372,4.18,50.04,35.026074380165284,16.02004817242217
1,1,0,40.0,9.162719023857164,3.508264462809917,0.23,0.25,0.2438842975206611,0.11,0.1002809917355371,170.67652892561983,44.15,42.69892561983471,0.032,21.697685950413224,4.15,50.03,29.33595041322314,17.56711611491885
0,1,0,28.0,10.701778098512506,3.436893203883495,0.22,0.27,0.246051779935275,0.11,0.104789644012945,171.9243365695793,43.52,42.50822006472492,0.032,21.69775974025974,4.16,50.05,28.64006493506493,16.01608745370603
0,1,0,40.0,16.364518146648354,4.216535433070866,0.23,0.26,0.2486614173228346,0.11,0.11,173.7259842519685,44.96,43.31732283464567,0.032,21.698267716535437,4.19,50.08,35.00464566929134,18.387480200800297
0,1,0,44.0,15.894668113096929,4.442105263157894,0.26,0.27,0.2655438596491228,0.11,0.1044561403508771,173.9779649122807,45.34,43.19824561403509,0.031,21.695473684210526,4.16,50.06,37.04817543859649,18.8723512133816
1,1,0,44.0,16.11165819772993,4.444223107569721,0.26,0.27,0.2660956175298805,0.11,0.1039043824701195,174.1391235059761,45.34,43.24,0.031,21.694780876494026,4.16,50.06,37.02573705179282,19.99056336761377
1,1,0,40.0,15.9969880688114,4.107142857142857,0.23,0.26,0.2492857142857143,0.11,0.11,173.70344537815126,44.96,43.233319327731095,0.032,21.69806722689076,4.19,50.08,34.08848739495799,18.635932110706506
1,1,0,53.0,18.257765202237447,5.540425531914893,0.24,0.24,0.24,0.12,0.1069787234042553,174.4297021276596,46.1,43.097191489361705,0.03,27.095531914893616,33.26,50.06,46.21787234042554,5.375977961586384
0,1,0,34.0,12.628278561219467,3.3708955223880595,0.22,0.26,0.2404477611940298,0.11,0.101820895522388,175.43231343283583,45.41,43.53003731343284,0.032,22.79839552238806,4.16,50.84,28.097276119402984,20.633485920750875
0,1,0,30.0,13.017547657986404,3.626691729323309,0.26,0.28,0.2698496240601504,0.12,0.1098496240601503,174.24421052631578,44.53,43.446390977443606,0.033,21.69766917293233,4.18,50.04,30.244022556390977,15.336819305171764
0,1,0,40.0,14.451322088886243,3.284435797665369,0.23,0.24,0.2349416342412451,0.1,0.0959533073929961,173.3043579766537,45.31,42.30140077821012,0.034,21.69785992217899,4.1,53.32,27.43229571984436,16.376682397534253
1,1,0,40.0,12.345030651177224,3.255744680851064,0.23,0.24,0.2345106382978723,0.1,0.0956085106382978,173.18612765957445,45.31,42.12272340425532,0.034,21.697531914893617,4.1,53.32,27.11131914893617,16.869830033122053
1,1,0,34.0,13.063764856940052,3.617982456140351,0.22,0.26,0.2422807017543859,0.11,0.1010877192982456,175.72530701754388,45.41,43.38697368421053,0.032,22.798377192982453,4.16,50.84,30.14745614035088,20.1445503965933
0,1,0,36.0,7.975396429468023,3.434262948207172,0.23,0.25,0.2400398406374502,0.11,0.1029721115537848,172.9966533864542,44.89,43.03621513944224,0.032,21.697290836653387,4.15,50.03,28.602509960159363,17.10387838108364
1,1,0,20.0,7.418987114158237,3.574235807860262,0.23,0.25,0.2404803493449781,0.11,0.1026637554585152,173.1416593886463,44.89,42.93017467248908,0.032,21.69711790393013,4.15,50.03,29.83231441048035,16.454191658321673
1,1,1,28.0,9.915976840907724,3.461847389558233,0.22,0.27,0.2440963855421686,0.11,0.1051807228915662,172.4421686746988,43.02,42.3533734939759,0.032,21.696746987951805,4.16,50.05,28.863413654618476,16.125923504236592
0,1,0,26.0,9.258547545647174,3.412408759124088,0.22,0.27,0.2406204379562044,0.11,0.1058759124087591,171.8993795620438,43.02,42.3764598540146,0.032,21.69783882783883,4.16,50.05,28.26820512820513,15.656649759545042
0,1,0,40.0,13.509084675956444,2.9249056603773584,0.23,0.24,0.235811320754717,0.1,0.0966490566037736,173.58596226415094,45.31,42.44686792452831,0.034,21.69814393939394,2.41,53.32,24.444015151515156,16.73927079830795
0,1,0,22.0,8.518788098047379,2.851408450704225,0.22,0.26,0.2467605633802816,0.11,0.1056338028169014,172.4424647887324,43.98,43.01922535211268,0.032,15.921166077738514,2.48,49.8,23.47127208480565,17.366935869537524
1,1,0,53.0,18.458331320468456,5.591439688715953,0.24,0.24,0.24,0.12,0.111828793774319,175.71400778210116,46.1,43.55198443579767,0.03,27.0934375,33.26,50.06,46.6726171875,5.347449436545364
1,1,0,30.0,10.48348663677748,2.8044444444444445,0.22,0.24,0.2291555555555555,0.12,0.1090133333333333,174.6942222222222,45.31,42.89111111111111,0.032,22.795377777777777,4.15,50.05,23.430888888888887,19.47421576247659
0,1,0,30.0,10.304737446599576,2.6598360655737703,0.22,0.24,0.2284426229508196,0.12,0.1098688524590164,174.56696721311474,45.31,43.079467213114754,0.032,22.795802469135804,4.15,50.05,22.26374485596708,19.19070030162692
1,1,0,34.0,12.660204878867686,3.218018018018018,0.22,0.26,0.2374774774774774,0.11,0.103009009009009,175.19779279279277,45.41,43.43238738738739,0.032,22.797702702702704,4.16,50.84,26.72855855855856,21.30549048038269
1,1,0,22.0,8.983108276628057,2.87,0.24,0.26,0.2479166666666666,0.11,0.1060416666666666,173.09633333333335,43.98,42.94733333333333,0.032,15.89949790794979,2.48,49.8,23.699874476987446,18.01453018769397
