Cykl_1,HMG,HL,Anoda_ANALIZA As,Anoda_ANALIZA As_amin,Anoda_ANALIZA As_amax,Anoda_ANALIZA Ni,Anoda_ANALIZA Ni_amin,Anoda_ANALIZA Ni_amax,Anoda_ANALIZA Bi,Anoda_ANALIZA Bi_amin,Anoda_ANALIZA Bi_amax,Anoda_ANALIZA Sn,Anoda_ANALIZA Sn_amin,Anoda_ANALIZA Sn_amax,Anoda_ANALIZA Sn_diff,NaCl [kg]_amin,NaCl [kg]_mean,Natezenie_prad_mean,Sklad_Au_amin,Sklad_Au_amax,Sklad_Au_mean,Sklad_Bi_amin,Sklad_Bi_amax,Sklad_Bi_mean,Sklad_Ni_amin,Sklad_Ni_amax,Sklad_Ni_mean,Sklad_Ni_std,Sklad_Zn_amin,Sklad_Zn_amax,Sklad_Zn_mean
1,1,0,0.14,0.14,0.14,0.06,0.05,0.07,0.00435,0.0043,0.0044,0.0004,0.0002,0.0006,0.0003999999999999,1.0,4.337719298245614,13.413119517543858,4.12,5.02,4.518684210526316,0.016,0.019,0.0176710526315789,5.79,7.15,6.392456140350877,0.6770505631252437,,,
0,1,0,0.1325,0.11,0.17,0.0875,0.06,0.13,0.004425,0.0044,0.0045,0.000625,0.0005,0.0008,0.0003,1.0,4.016363636363637,13.500975454545454,4.95,5.86,5.443054545454546,0.06,0.061,0.0605418181818181,4.02,4.68,4.377599999999999,0.3294433260964463,,,
1,1,0,0.145,0.14,0.16,0.0625,0.05,0.08,0.0044,0.0043,0.0045,0.000475,0.0002,0.0008,0.0006,0.5,3.4346938775510205,13.56609387755102,5.34,5.93,5.633795918367347,0.053,0.058,0.0554897959183673,4.68,4.84,4.759673469387755,0.0801630990480005,,,
1,1,0,0.141,0.13,0.16,0.0925,0.08,0.12,0.004025,0.0034,0.0051,0.000655,0.0004,0.0008,0.0004,0.5,3.3237704918032787,13.482696721311475,5.19,5.86,5.533237704918033,0.056,0.06,0.0580491803278688,4.23,4.72,4.481024590163935,0.2454293613431295,,,
0,1,0,0.1394999999999999,0.12,0.15,0.0765,0.07,0.08,0.004135,0.0041,0.0042,0.00057,0.0005,0.0007,0.0001999999999999,0.5,3.732876712328767,13.781852739726029,5.76,6.68,6.277945205479451,0.058,0.064,0.0603595890410958,4.8,5.16,5.02068493150685,0.1756427862544479,,,
0,1,0,0.1275,0.12,0.15,0.09,0.08,0.12,0.005225,0.0041,0.0056,0.0011,0.001,0.0014,0.0003999999999999,1.0,3.7878228782287824,13.46945664206642,6.1,7.0,6.647970479704797,0.068,0.069,0.0683911439114391,4.66,4.96,4.842656826568265,0.1466728165992297,,,
1,1,0,0.16,0.16,0.16,0.1,0.1,0.1,0.0041,0.0041,0.0041,0.0006,0.0006,0.0006,0.0,1.5,4.680933852140078,13.058146887159532,5.1,5.85,5.54941634241245,0.059,0.059,0.059,4.39,4.92,4.707587548638132,0.2602365531480117,,,
1,1,0,0.125,0.12,0.14,0.0875,0.05,0.1,0.0044,0.0044,0.0044,0.00035,0.0002,0.0004,0.0002,1.0,3.86231884057971,13.457190217391304,6.1,7.0,6.656521739130435,0.065,0.069,0.0683188405797101,4.66,4.96,4.845688405797102,0.1445742238172417,,,
1,1,0,0.1349999999999999,0.12,0.16,0.095,0.08,0.1,0.00435,0.0043,0.0044,0.000475,0.0003,0.0008,0.0005,1.0,4.263948497854077,13.352342274678112,5.47,5.74,5.620643776824034,0.059,0.06,0.0594420600858369,4.46,5.0,4.761287553648069,0.26875842997128,,,
0,1,0,0.15,0.11,0.17,0.105,0.06,0.13,0.004425,0.0043,0.0045,0.000675,0.0005,0.0008,0.0003,1.5,4.579545454545454,13.05826231060606,5.1,5.85,5.560227272727272,0.059,0.059,0.059,4.39,4.92,4.715227272727272,0.25855540744887,,,
1,1,0,0.147,0.14,0.16,0.081,0.07,0.1,0.00448,0.0041,0.0048,0.0009199999999999,0.0006,0.0014,0.0008,0.5,4.0773809523809526,13.497385912698412,5.34,5.93,5.707579365079365,0.053,0.058,0.0561150793650793,4.68,4.84,4.77968253968254,0.0776952521321798,,,
1,1,0,0.138,0.1,0.16,0.0785,0.07,0.09,0.004265,0.004,0.0044,0.0008049999999999,0.0006,0.0012,0.0006,2.0,4.70954356846473,13.057698132780082,5.1,5.85,5.554356846473029,0.059,0.059,0.059,4.39,4.92,4.711078838174274,0.2595374049958459,,,
0,1,0,0.155,0.15,0.16,0.125,0.11,0.14,0.00475,0.0047,0.0048,0.0005,0.0002,0.0008,0.0006,0.5,3.692028985507247,13.431571557971017,4.95,5.86,5.545652173913044,0.06,0.065,0.0609347826086956,4.02,4.68,4.449130434782608,0.304689357777856,,,
0,1,0,0.16,0.13,0.18,0.0875,0.07,0.12,0.004425,0.0041,0.0046,0.000875,0.0005,0.0014,0.0009,1.0,4.231034482758621,13.781181896551724,4.99,5.84,5.577758620689656,0.049,0.058,0.0509862068965517,4.47,4.6,4.548931034482758,0.0606757968281036,,,
0,1,0,0.1575,0.15,0.16,0.1075,0.03,0.14,0.0042,0.0033,0.0047,0.0006,0.0002,0.0014,0.0012,2.0,4.622529644268774,13.412000988142292,5.24,5.6,5.481778656126481,0.053,0.061,0.0537588932806324,4.34,4.54,4.537628458498023,0.0216920250047066,,,
1,1,0,0.1319998943643374,0.08,0.18,0.08,0.04,0.14,0.0039850324829662,0.003,0.0049,0.0006399926055036,0.0005,0.0009,0.0003999999999999,2.0,4.622529644268774,13.465575098814227,5.86,6.3,6.154940711462451,0.062,0.066,0.0627430830039525,4.7,4.96,4.811383399209486,0.0771520815764178,,,
1,1,0,0.139,0.13,0.17,0.082,0.08,0.1,0.004495,0.0039,0.0046,0.000505,0.0004,0.0006,0.0001999999999999,2.0,4.7125,13.372438392857145,5.24,5.6,5.483107142857143,0.053,0.061,0.0545428571428571,4.34,4.54,4.516428571428572,0.0646032437967553,,,
0,1,0,0.125,0.12,0.13,0.1,0.08,0.12,0.00465,0.0046,0.0047,0.0008,0.0006,0.001,0.0004,2.0,4.591836734693878,13.47491836734694,5.86,6.3,6.158122448979592,0.062,0.063,0.0626775510204081,4.7,4.86,4.808408163265307,0.074939297392915,,,
1,1,0,0.1625,0.13,0.18,0.0875,0.07,0.1,0.004575,0.0045,0.0046,0.00095,0.0005,0.0013,0.0007999999999999,0.5,3.616906474820144,13.311996402877698,4.95,5.86,5.585107913669065,0.06,0.065,0.0612697841726618,4.02,4.68,4.474748201438849,0.2832147351182291,,,
1,1,0,0.165,0.16,0.18,0.1,0.1,0.1,0.0046,0.0046,0.0046,0.000625,0.0004,0.0013,0.0009,0.5,4.408921933085502,13.429592007434945,5.34,6.12,5.792565055762082,0.053,0.061,0.0569851301115241,4.68,4.84,4.792862453531599,0.0694298720276697,,,
0,1,0,0.1575,0.15,0.16,0.1325,0.12,0.14,0.004475,0.0041,0.0047,0.000625,0.0002,0.0014,0.0012,1.0,4.171875,13.2453984375,5.47,5.98,5.691015625,0.059,0.065,0.0597734375,4.46,5.0,4.8384375,0.234734518376926,,,
0,1,0,0.13,0.13,0.13,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.0046,0.0046,0.0046,0.0005,0.0005,0.0005,0.0,1.5,4.829431438127091,13.058533444816051,5.1,5.85,5.664882943143812,0.059,0.06,0.0592207357859531,4.39,4.92,4.712073578595318,0.2386631839505054,,,
0,1,0,0.145,0.13,0.16,0.0849999999999999,0.08,0.09,0.00445,0.0044,0.0045,0.0006,0.0006,0.0006,0.0,0.5,4.052631578947368,13.780736842105265,5.76,6.68,6.4115789473684215,0.058,0.064,0.0595526315789473,4.8,5.16,5.074736842105263,0.1533405579519294,,,
0,1,0,0.15,0.12,0.16,0.1175,0.08,0.13,0.0047,0.0044,0.0056,0.000775,0.0007,0.001,0.0003,1.5,4.850746268656716,13.058131529850748,5.1,5.85,5.672014925373134,0.059,0.06,0.0591567164179104,4.39,4.92,4.739477611940298,0.2367644483263466,,,
1,1,0,0.1784999999999999,0.17,0.18,0.0715,0.07,0.08,0.004325,0.0039,0.0044,0.000515,0.0005,0.0006,9.999999999999994e-05,1.0,4.28,13.26212111111111,5.47,5.98,5.6761333333333335,0.059,0.065,0.0592977777777777,4.46,5.0,4.865688888888889,0.2325548919669866,,,
1,1,0,0.1699999999999999,0.16,0.18,0.1025,0.07,0.12,0.00465,0.0044,0.0048,0.0007499999999999,0.0005,0.0013,0.0007999999999999,0.5,3.9876543209876543,13.781512345679012,5.76,6.68,6.439176954732511,0.058,0.064,0.0593168724279835,4.8,5.16,5.087407407407407,0.1447406724419688,,,
1,1,0,0.17,0.17,0.17,0.12,0.12,0.12,0.005,0.005,0.005,0.0011,0.0011,0.0011,0.0,1.0,4.157303370786517,13.20225093632959,5.47,5.98,5.735393258426967,0.059,0.065,0.0603071161048689,4.46,5.0,4.852209737827716,0.2109466334418671,,,
1,1,0,0.165,0.16,0.18,0.095,0.07,0.12,0.004625,0.0044,0.0048,0.0006,0.0005,0.0007,0.0001999999999999,0.5,4.983271375464684,13.326825278810407,5.24,5.6,5.510148698884758,0.053,0.061,0.0552007434944237,4.34,4.54,4.500594795539034,0.0796987057872074,,,
0,1,0,0.145,0.13,0.16,0.085,0.04,0.13,0.0045,0.004,0.005,0.0004,0.0003,0.0005,0.0002,1.0,3.513888888888889,13.24928472222222,6.1,7.0,6.755,0.065,0.069,0.0673333333333333,4.66,4.96,4.8810416666666665,0.1072735845920112,,,
0,1,0,0.1375,0.12,0.15,0.1125,0.09,0.13,0.004975,0.0048,0.0051,0.001075,0.0009,0.0012,0.0002999999999999,0.5,3.691029900332226,13.237050664451829,4.95,5.86,5.657774086378738,0.06,0.065,0.0621196013289036,4.02,4.68,4.5195348837209295,0.221000263074662,,,
0,1,0,0.12,0.1,0.16,0.1225,0.1,0.13,0.004875,0.0044,0.0051,0.000875,0.0007,0.001,0.0003,1.0,4.557195571955719,13.35364114391144,5.86,6.3,6.168929889298893,0.062,0.066,0.0636531365313653,4.7,4.96,4.866346863468634,0.0753727378466248,,,
1,1,0,0.16,0.14,0.18,0.0949999999999999,0.09,0.1,0.0043,0.0041,0.0045,0.0009,0.0008,0.001,0.0001999999999999,1.0,4.274809160305344,13.78152003816794,4.99,5.84,5.718969465648854,0.049,0.058,0.0514732824427481,4.47,4.6,4.560343511450381,0.0538078418692506,,,
1,1,0,0.1299999999999999,0.1,0.18,0.0925,0.09,0.1,0.004425,0.0041,0.0047,0.000875,0.0007,0.001,0.0003,0.5,3.8138686131386863,13.226002737226278,4.95,5.86,5.697153284671533,0.06,0.065,0.0620912408759124,4.02,4.68,4.54883211678832,0.1992791613947593,,,
1,1,0,0.14,0.1,0.18,0.0949999999999999,0.09,0.1,0.00445,0.0041,0.0047,0.000875,0.0007,0.001,0.0003,0.5,3.422,13.300873,5.19,5.96,5.8158,0.056,0.066,0.0609679999999999,4.23,4.72,4.671,0.1472948849503266,,,
1,1,0,0.1375,0.1,0.16,0.1,0.09,0.11,0.004575,0.0044,0.0048,0.0008,0.0004,0.001,0.0006,1.5,5.143884892086331,13.059,5.1,5.85,5.751978417266187,0.059,0.06,0.0593057553956834,4.39,4.92,4.743920863309352,0.2199230769604627,,,
0,1,0,0.1425,0.11,0.16,0.09,0.06,0.12,0.00425,0.004,0.0045,0.0008249999999999,0.0005,0.0014,0.0009,1.0,4.291666666666667,13.78159982638889,5.76,6.68,6.575833333333333,0.058,0.064,0.0587291666666666,4.8,5.16,5.1375,0.0872938088253317,,,
0,1,0,0.154,0.13,0.17,0.076,0.06,0.1,0.00406,0.0039,0.0043,0.00066,0.0006,0.0007,0.0001,1.0,4.532374100719425,13.317096223021585,5.86,6.3,6.173741007194244,0.062,0.066,0.0639712230215827,4.7,4.96,4.885539568345324,0.0645078302343657,,,
0,1,0,0.13,0.1,0.15,0.095,0.08,0.11,0.004725,0.0045,0.0049,0.0008249999999999,0.0007,0.001,0.0003,0.5,3.2755775577557755,13.234216171617163,5.19,5.96,5.879141914191419,0.056,0.066,0.0623432343234323,4.23,4.72,4.703828382838283,0.0876809212996693,,,
1,1,0,0.155,0.15,0.16,0.065,0.03,0.1,0.0038,0.0038,0.0038,0.0006,0.0005,0.0007,0.0001999999999999,1.5,5.092369477911647,13.058950803212852,5.1,5.85,5.7991967871485945,0.059,0.06,0.05929718875502,4.39,4.92,4.780281124497992,0.2023957350182289,,,
0,1,0,0.1205,0.11,0.14,0.08,0.06,0.11,0.004165,0.004,0.0047,0.000485,0.0004,0.0005,0.0001,1.0,3.800724637681159,13.191576086956522,6.1,7.0,6.823478260869565,0.065,0.069,0.066927536231884,4.66,4.96,4.90481884057971,0.0737684569700465,,,
1,1,0,0.13,0.13,0.13,0.098,0.09,0.1,0.0042,0.0041,0.0046,0.00074,0.0005,0.0008,0.0003,1.0,4.280487804878049,13.780729674796747,4.99,5.84,5.817764227642277,0.049,0.058,0.0518292682926829,4.47,4.6,4.568170731707317,0.0468465506001897,,,
1,1,0,0.15,0.15,0.15,0.1,0.1,0.1,0.0038,0.0038,0.0038,0.0007,0.0007,0.0007,0.0,0.5,3.866906474820144,13.179970323741008,4.95,5.86,5.750863309352518,0.06,0.065,0.0625647482014388,4.02,4.68,4.583525179856116,0.1220543958117493,,,
0,1,0,0.1,0.1,0.1,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.0047,0.0047,0.0047,0.0007,0.0007,0.0007,0.0,0.5,4.548042704626335,13.219035587188612,5.47,5.6,5.5449466192170815,0.054,0.061,0.0569644128113879,4.34,4.54,4.455302491103203,0.0989985441497605,,,
0,1,0,0.132,0.09,0.16,0.081,0.04,0.13,0.00438,0.004,0.005,0.00051,0.0003,0.0007,0.0004,1.0,4.202205882352941,13.781272058823529,6.6,6.68,6.633529411764705,0.058,0.059,0.0584191176470588,5.16,5.16,5.16,0.0,,,
1,1,0,0.1225,0.11,0.16,0.075,0.06,0.12,0.0036749999999999,0.0033,0.0048,0.0003,0.0002,0.0006,0.0003999999999999,1.0,3.816,13.098354,5.74,5.98,5.83408,0.059,0.065,0.061352,4.74,5.0,4.89808,0.1271857636447394,,,
1,1,0,0.14,0.11,0.16,0.0549999999999999,0.03,0.1,0.00375,0.0033,0.0041,0.0005,0.0002,0.0008,0.0006,1.0,4.126482213438735,13.78155632411067,5.78,5.84,5.816047430830039,0.049,0.058,0.052592885375494,4.5,4.6,4.5600790513834,0.049070665718097,,,
1,1,0,0.1275,0.11,0.16,0.0625,0.03,0.1,0.003625,0.0033,0.0041,0.000425,0.0002,0.0008,0.0006,0.5,4.40625,13.21109765625,5.47,5.6,5.546171875,0.054,0.061,0.0568984374999999,4.34,4.54,4.4571875,0.098704848203234,,,
0,0,1,0.0795,0.0699,0.0834,0.2705000000000001,0.232,0.301,0.0003,0.0001,0.0006,0.00345,0.0021,0.0044,0.0023,0.5,4.337662337662338,13.043762175324677,4.84,5.02,5.0182467532467525,0.016,0.022,0.0171493506493506,6.74,7.15,6.926071428571428,0.2041838159893152,0.09,0.09,0.09
0,1,0,0.15,0.12,0.18,0.1075,0.07,0.13,0.004725,0.0044,0.0051,0.0009249999999999,0.0007,0.0012,0.0004999999999999,1.5,3.977272727272727,13.06865805785124,5.74,5.98,5.846115702479339,0.059,0.065,0.0616528925619834,4.74,5.0,4.885041322314049,0.1293945298050608,,,
0,1,0,0.15,0.15,0.15,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.0045,0.0045,0.0045,0.0008,0.0008,0.0008,0.0,0.5,4.068265682656826,13.108926199261994,5.59,5.86,5.719520295202952,0.061,0.065,0.0630811808118081,4.44,4.68,4.5551291512915135,0.120122938255783,,,
1,1,0,0.1799999999999999,0.1799999999999999,0.1799999999999999,0.12,0.12,0.12,0.0044,0.0044,0.0044,0.001,0.001,0.001,0.0,0.5,4.244186046511628,13.78165406976744,5.78,5.84,5.8097674418604655,0.049,0.058,0.0535348837209302,4.5,4.6,4.549612403100775,0.0500956765653998,,,
0,1,0,0.1525,0.15,0.16,0.095,0.08,0.12,0.0043,0.0041,0.0045,0.0009749999999999,0.0008,0.0014,0.0006,0.5,4.131205673758865,13.21522074468085,5.93,6.12,6.034432624113475,0.058,0.061,0.0596489361702127,4.8,4.84,4.818014184397163,0.0199365491060428,,,
1,1,0,,0.1,0.17,,0.08,0.11,,0.004,0.004,,0.0009,0.0009,0.0,1.0,4.633744855967078,13.217421810699587,6.0,6.3,6.149382716049383,0.063,0.066,0.0645061728395061,4.86,4.96,4.910205761316873,0.050102775031366,,,
1,1,0,,0.14,0.18,,0.09,0.1,,0.0041,0.0041,,0.0007,0.0008,0.0001,0.5,4.412601626016261,13.782049796747968,6.6,6.68,6.640650406504065,0.058,0.059,0.0585081300813008,5.16,5.16,5.16,0.0,,,
0,1,0,0.13,0.1,0.14,0.0825,0.08,0.09,0.004325,0.0043,0.0044,0.00085,0.0008,0.001,0.0001999999999999,0.5,4.041237113402062,13.076513745704467,5.46,5.86,5.6903780068728524,0.061,0.065,0.0633780068728522,4.42,4.68,4.532508591065292,0.1177734342816342,0.02,0.02,0.02
0,1,0,0.14,0.14,0.14,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.004,0.004,0.004,0.0012,0.0012,0.0012,0.0,0.5,2.7590579710144927,13.127741847826089,5.86,5.96,5.919782608695653,0.06,0.066,0.0635869565217391,4.72,4.72,4.72,0.0,,,
0,0,1,0.08485,0.0699,0.115,0.2625,0.201,0.347,0.00025,0.0002,0.0003,0.005875,0.0028,0.0093,0.0064999999999999,0.5,4.415686274509804,13.00285,5.02,5.02,5.02,0.016,0.018,0.0171686274509803,6.74,7.15,6.91043137254902,0.2024617447000942,,,
1,1,0,0.17,0.17,0.17,0.08,0.08,0.08,0.004,0.004,0.004,0.0009,0.0009,0.0009,0.0,0.5,4.4189723320158105,12.99951581027668,5.02,5.02,5.02,0.016,0.018,0.0171778656126482,6.74,7.15,6.908537549407115,0.2021310954188905,,,
0,1,0,0.16,0.16,0.16,0.08,0.08,0.08,0.0041,0.0041,0.0041,0.0009,0.0009,0.0009,0.0,1.0,4.037878787878788,12.992993371212124,5.74,5.98,5.887272727272728,0.059,0.065,0.0626818181818181,4.74,5.0,4.840454545454546,0.1268385017673702,,,
1,1,0,,0.12,0.17,,0.08,0.09,,0.0039,0.004,,0.0009,0.0009,0.0,0.5,4.234567901234568,13.167935185185186,5.93,6.12,6.044156378600823,0.058,0.061,0.0598024691358024,4.8,4.84,4.8159670781893,0.0196296007530781,,,
1,1,0,,0.1,0.12,,0.09,0.11,,0.0039,0.004,,0.0009,0.0009,0.0,1.0,4.137795275590551,12.984970472440944,5.74,5.98,5.888346456692914,0.059,0.065,0.0627086614173228,4.74,5.0,4.839291338582678,0.1265703329129499,,,
0,1,0,0.16,0.16,0.16,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.0043,0.0043,0.0043,0.0011,0.0011,0.0011,0.0,0.5,4.16376306620209,13.149297038327528,5.88,6.3,6.081951219512195,0.063,0.066,0.0647560975609756,4.84,4.96,4.916515679442509,0.0520528133981834,0.022,0.022,0.022
0,1,0,0.1475,0.14,0.17,0.1099999999999999,0.08,0.12,0.00395,0.0038,0.0044,0.00035,0.0002,0.0008,0.0006,0.5,4.334545454545455,12.970195454545454,4.84,5.02,5.006254545454545,0.016,0.022,0.01768,6.74,7.15,6.897236363636364,0.1975220549116206,0.09,0.09,0.09
0,1,0,0.1325,0.1,0.15,0.095,0.08,0.12,0.0042,0.004,0.0044,0.0011,0.0008,0.0014,0.0006,0.5,4.061184210526315,13.073800986842103,5.47,5.62,5.531710526315789,0.054,0.062,0.0592894736842105,4.34,4.68,4.454342105263158,0.1353136976405228,0.02,0.02,0.02
1,1,0,0.1675,0.13,0.18,0.0825,0.08,0.09,0.003675,0.0036,0.0039,0.00095,0.0008,0.001,0.0001999999999999,0.5,4.3484251968503935,12.962292322834646,4.84,5.02,5.016456692913385,0.016,0.022,0.0174409448818897,6.74,7.15,6.878228346456694,0.1936226593481898,0.09,0.09,0.09
1,1,0,,0.13,0.13,,0.09,0.09,,0.0039,0.0039,,0.0008,0.0008,0.0,0.5,2.8771929824561404,13.06238596491228,5.86,5.96,5.927105263157896,0.06,0.066,0.0640263157894736,4.72,4.72,4.72,0.0,,,
1,1,0,0.1399999999999999,0.1,0.18,0.105,0.08,0.12,0.004,0.0036,0.0044,0.00095,0.0009,0.001,0.0001,0.5,3.947368421052632,13.78006798245614,6.6,6.68,6.654035087719298,0.058,0.059,0.0586754385964912,5.16,5.16,5.16,0.0,,,
1,1,0,0.1475,0.14,0.16,0.0974999999999999,0.07,0.12,0.004125,0.0037,0.0048,0.00095,0.0006,0.0013,0.0007,0.5,4.246913580246914,13.120617283950615,5.93,6.28,6.062798353909465,0.058,0.062,0.0600905349794238,4.8,5.06,4.813251028806584,0.0243367972286906,0.022,0.022,0.022
0,1,0,0.1625,0.14,0.17,0.09,0.08,0.12,0.0042499999999999,0.0038,0.0044,0.00065,0.0002,0.0008,0.0006,0.5,3.918279569892473,13.058856630824373,5.47,5.62,5.5250179211469534,0.054,0.062,0.0595340501792114,4.34,4.68,4.442652329749104,0.1338102016196911,0.02,0.02,0.02
0,1,0,0.14,0.14,0.14,0.06,0.05,0.07,0.00435,0.0043,0.0044,0.0004,0.0002,0.0006,0.0003999999999999,0.5,4.51948051948052,12.946851461038962,4.84,5.02,4.974415584415584,0.016,0.022,0.0186103896103896,6.74,7.15,6.918766233766234,0.1964052445682459,0.09,0.09,0.09
1,1,0,0.1574999999999999,0.1,0.18,0.1,0.08,0.12,0.004025,0.0036,0.0044,0.0010249999999999,0.0009,0.0012,0.0002999999999999,0.5,3.756653992395437,13.781252851711027,5.78,5.84,5.7932319391634985,0.049,0.058,0.0557338403041825,4.5,4.76,4.558631178707224,0.0911568404373967,0.023,0.023,0.023
0,1,0,0.15,0.14,0.16,0.07,0.07,0.07,0.0044,0.0043,0.0045,0.00065,0.0006,0.0007,0.0001,0.5,4.280263157894737,13.117815789473685,5.93,6.28,6.125953947368421,0.058,0.062,0.0606973684210526,4.8,5.06,4.875065789473684,0.1107817806238295,0.022,0.022,0.022
1,1,0,0.1625,0.14,0.17,0.0925,0.09,0.1,0.004,0.0037,0.0041,0.001225,0.0012,0.0013,0.0001,0.5,3.716535433070866,12.994161417322834,6.13,7.0,6.622874015748032,0.063,0.068,0.0654448818897637,4.76,4.96,4.851181102362205,0.0625999807199004,0.024,0.024,0.024
0,1,0,0.14,0.14,0.14,0.0899999999999999,0.0899999999999999,0.0899999999999999,0.0048,0.0048,0.0048,0.0014,0.0014,0.0014,0.0,0.5,3.7803030303030303,13.78069318181818,5.78,5.84,5.792272727272728,0.049,0.058,0.055840909090909,4.5,4.76,4.5618181818181816,0.0949349842107742,0.023,0.023,0.023
1,0,1,0.0778,0.0686,0.094,0.2162249999999999,0.184,0.2498,0.00025,0.0001,0.0006,0.0053999999999999,0.0028,0.0074,0.0046,0.5,4.566666666666666,12.946419444444444,4.84,5.02,4.984666666666667,0.016,0.022,0.0184222222222222,6.74,7.15,6.889,0.1918006051058213,0.09,0.09,0.09
1,1,0,0.17,0.17,0.17,0.05,0.05,0.05,0.0034,0.0034,0.0034,0.0005,0.0005,0.0005,0.0,1.5,5.253112033195021,13.061272821576765,5.75,5.89,5.784605809128631,0.059,0.067,0.0605601659751037,4.5,4.92,4.612116182572614,0.1744016048627417,0.022,0.022,0.022
0,1,0,0.145,0.14,0.16,0.0625,0.05,0.08,0.0044,0.0043,0.0045,0.000475,0.0002,0.0008,0.0006,0.5,4.425783972125435,13.1176106271777,5.93,6.28,6.135121951219512,0.058,0.062,0.0608292682926829,4.8,5.06,4.87560975609756,0.1126860278983449,0.022,0.022,0.022
